time,expected_pnl,is_bid,market,price,size_base,size_usd,total_cost,total_units,rolling_pnl
2026-04-05 00:02:33.333623849,-0.07816281777571252,True,MONUSDC,0.02721999998687042,26930.4935104183,732.91338,-7484.635413000001,-275240.26094322716,-7.404486260853446
2026-04-05 00:02:33.718363174,-0.04170920713470408,True,MONUSDC,0.027219999994167552,14370.6015460623,391.09592,-7093.467639,-260869.65939716485,-7.404488269317881
2026-04-05 00:02:34.121618100,-0.010723894146356919,True,MONUSDC,0.02721999992869127,2655.0791766837,72.2447,-7021.196384000001,-258214.58022048115,-7.4044711885426295
2026-04-05 00:02:38.137456918,0.017474861017980833,True,MONUSDC,0.027214999999999996,5000.0,136.075,-6885.121384000001,-253214.58022048115,-6.113416700392918
2026-04-05 00:03:09.728320596,0.26746369059447345,True,MONUSDC,0.02722499998599825,20502.9796248697,558.19362,-6326.927764000001,-232711.60059561144,-8.64555895715148
2026-04-05 00:03:10.109675204,0.10798384646673365,True,MONUSDC,0.027224999988599254,8277.7255498392,225.36108,-6101.566686000001,-224433.87504577223,-8.645559562434755
2026-04-05 00:03:10.545870097,0.08006338986598711,True,MONUSDC,0.02722499983711992,6135.1003121868,167.08946,-5934.538581000001,-218298.77473358542,-8.645525565340904
2026-04-05 00:03:10.545921497,0.021839329642274814,True,MONUSDC,0.02723599997980346,10647.3933108768,289.98176,-5644.546177000001,-207651.38142270863,-11.04684323505171
2026-04-05 00:03:10.545932877,0.010255615505533064,True,MONUSDC,0.027236,5000.0,136.175,-5508.366177000001,-202651.38142270863,-11.046847428890942
2026-04-05 00:03:10.960199334,0.04257400232151703,True,MONUSDC,0.027235999980120103,36405.1844515983,991.4952,-4516.834574,-166246.19697111033,-11.046843400203215
2026-04-05 00:03:11.333192867,0.008577298962407966,True,MONUSDC,0.02723599986364435,7333.7492289616,199.73466,-4317.092581000001,-158912.44774214874,-11.046824036552607
2026-04-05 00:03:11.333204767,0.003129617026989623,True,MONUSDC,0.027235999771616688,2675.6700547466,72.87187,-4244.218032000001,-156236.77768740215,-11.046809412211587
2026-04-05 00:03:11.729171717,0.002759719569020858,True,MONUSDC,0.027235999741454093,2359.3646133795,64.2573,-4179.958378,-153877.41307402265,-11.046804699705717
2026-04-05 00:03:12.165346354,-1.0972227596145922e-05,True,MONUSDC,0.027235988298333968,20.6894273058,0.56348,-4179.394881,-153856.72364671686,-11.045043861982776
2026-04-05 00:03:12.165358404,0.0051696039112773574,True,MONUSDC,0.027224999639706246,494.3135051643,13.46263,-4165.937196,-153362.41014155257,-9.354364848250043
2026-04-05 00:04:51.385263658,-0.0017533255066224857,True,MONUSDC,0.02724299972167704,3591.7339499931,97.83883,-4068.0875889999998,-149770.67619155947,-12.114900802037027
2026-04-05 00:04:52.986144239,0.007437319429479581,True,MONUSDC,0.027243999966045443,10647.3933108768,290.03499,-3778.0100059999995,-139123.28288068267,-12.264708077449995
2026-04-05 00:04:53.396652553,0.00031095102931045663,True,MONUSDC,0.02724399980501423,445.0602366312,12.12344,-3765.8847849999997,-138678.22264405148,-12.264685674258544
2026-04-05 00:04:54.996000356,0.0007597818329892031,True,MONUSDC,0.027243999823114762,1087.4940607973,29.62334,-3736.2570969999997,-137590.72858325418,-12.264688184408442
2026-04-05 00:04:57.426142121,0.003492384400715542,True,MONUSDC,0.027244,5000.0,136.2,-3600.037097,-132590.72858325418,-12.264712522176978
2026-04-05 00:05:26.279219978,0.04379215426283716,False,MONUSDC,0.027208999984839805,65962.0856701826,1794.82835,-5394.799485,-198552.81425343678,-7.624035011662272
2026-04-05 00:05:26.721517995,0.32095856926951394,False,MONUSDC,0.027212999991862104,66204.3129217199,1801.41935,-7196.417452,-264757.12717515667,-8.418247662973044
2026-04-05 00:05:26.721535335,0.02157595324489132,False,MONUSDC,0.02722699959815015,1144.7006082197,31.1473,-7227.584215,-265901.8277833764,-12.124743205378763
2026-04-05 00:05:27.089280793,0.01601051496846149,False,MONUSDC,0.02720999988459526,8665.152554208,235.7788,-7463.363015,-274566.9803375844,-7.604488299340119
